total_dist;pareto_alns;pareto_pr;pareto_final;solutions_pr;solutions_prls;unserved
1123.6999999999998;1.0;;;;;0
1123.3;3.0;;;;;0
1122.6;9.0;;;;;0
1123.6999999999998;;;;1.0;;0
1123.3;;;;3.0;;0
1123.6999999999998;;;;1.0;;0
1122.6;;;;9.0;;0
1123.3;;;;3.0;;0
1123.6999999999998;;;;1.0;;0
1123.3;;;;3.0;;0
1122.6;;;;9.0;;0
1122.6;;;;9.0;;0
1123.6999999999998;;;;1.0;;0
1122.6;;;;9.0;;0
1123.3;;;;3.0;;0
1123.6999999999998;;1.0;;;;0
1123.3;;3.0;;;;0
1122.6;;9.0;;;;0
1123.6999999999998;;;;;1.0;0
1122.6;;;;;9.0;0
1123.3;;;;;3.0;0
1123.6999999999998;;;1.0;;;0
1123.3;;;3.0;;;0
1122.6;;;9.0;;;0
